year,birthyr,age,weight,trad
2024,1975,49,0.122307645423503,Nondenom Evangelical
2024,1947,77,0.0205309396096294,Southern Baptist
2024,1959,65,0.296612405002573,ABCUSA
2024,1962,62,1.90424129151372,Free Will Baptist
2024,1962,62,1.90424129151372,Pentecostal Church of God
2024,1969,55,2.78689958178781,Free Will Baptist
2024,1995,29,2.82246154019186,Other Baptist
2024,1956,68,1.25926204582368,Southern Baptist
2024,1949,75,0.206846868717184,Independent Baptist
2024,1952,72,0.498854079891943,Nondenom Fundamentalist
2024,1945,79,0.0111786830602634,Other Pentecostal
2024,1944,80,0.319256158921548,Lutheran - Wisconsin Synod
2024,1950,74,1.24558949043694,Other Baptist
2024,1950,74,1.24558949043694,United Church of Christ
2024,1953,71,0.502286382327561,Community Church
2024,1972,52,4.72665625900275,Free Will Baptist
2024,1959,65,1.162162771543,Independent Baptist
2024,1959,65,0.683011786835144,Other Nondenom
2024,1965,59,0.761085535567856,Lutheran - Wisconsin Synod
2024,1943,81,0.374723116220466,Southern Baptist
2024,1943,81,0.374723116220466,United Methodist
2024,1965,59,0.808021887801495,United Church of Christ
2024,1965,59,0.465513309771717,ABCUSA
2024,1949,75,0.264714071010776,Community Church
2024,1973,51,0.359754100163029,Lutheran - Wisconsin Synod
2024,1958,66,1.09574107132597,Lutheran - Missouri Synod
2024,1975,49,0.293510797720559,Other Nondenom
2024,1957,67,0.39351876018174903,Other Nondenom
2024,1948,76,0.0833926287008123,Other Baptist
2024,1948,76,0.0833926287008123,Other Methodist
2024,1956,68,7.56119194879647,Church of God in Christ
2024,1959,65,1.2368280602359,African Methodist Episcopal
2024,1948,76,0.121219609708392,United Methodist
2024,1948,76,0.121219609708392,Community Church
2024,1956,68,1.11634060253526,Nondenom Evangelical
2024,1964,60,1.16600304612137,Other Pentecostal
2024,1953,71,2.26524018521311,ABCUSA
2024,1973,51,0.500775461330358,Southern Baptist
2024,1967,57,0.644180462152088,Independent Baptist
2024,1951,73,1.33433464779843,Southern Baptist
2024,1951,73,1.33433464779843,Lutheran - Missouri Synod
2024,1995,29,8.34005698950817,Church of Christ
2024,1953,71,1.28421729361499,United Methodist
2024,1947,77,1.41470423069431,Other Methodist
2024,1970,54,0.0220200008790862,TEC
2024,1949,75,1.01148741359786,United Church of Christ
2024,1953,71,0.663423736601711,Other Lutheran
2024,1954,70,1.13601033433613,Other Lutheran
2024,1965,59,0.988100762430115,Other Nondenom
2024,1991,33,0.98282312925456,Other Nondenom
2024,1950,74,0.857798227891148,Other Nondenom
2024,1958,66,0.763325388038251,Other Baptist
2024,1958,66,0.763325388038251,Other Nondenom
2024,1948,76,2.22883088863516,TEC
2024,1964,60,0.436006116099587,Church of Christ
2024,1953,71,0.602559636461663,Church of England
2024,1949,75,2.57754152492022,Community Church
2024,1949,75,2.57754152492022,PCUSA
2024,1965,59,0.321765606717848,Nondenom Evangelical
2024,1951,73,0.575019906756348,Lutheran - Missouri Synod
2024,1951,73,0.0638473321110379,ELCA
2024,1972,52,1.52581425566372,Nondenom Evangelical
2024,1960,64,0.191447833013413,United Methodist
2024,1965,59,2.71126415987472,Nondenom Charismatic
2024,1949,75,0.955383836646073,Church of Christ
2024,1952,72,0.962055677328931,Other Baptist
2024,1959,65,1.04436182265513,United Methodist
2024,1959,65,1.04436182265513,TEC
2024,1961,63,0.0258268919369264,Assemblies of God
2024,1961,63,0.40297119051482,Other Lutheran
2024,1950,74,1.65344674662542,Nondenom Charismatic
2024,1950,74,1.65344674662542,Church of Christ
2024,1950,74,1.65344674662542,United Church of Christ
2024,1947,77,0.636973178511392,Lutheran - Missouri Synod
2024,1955,69,2.07233224941939,United Methodist
2024,1956,68,1.27175353274171,Community Church
2024,1955,69,0.552422813541029,Other Methodist
2024,1964,60,0.888583910307678,Other Baptist
2024,1971,53,1.16710915167786,PCA
2024,1949,75,1.44789390918682,PCUSA
2024,1989,35,0.0108994521173395,Independent Baptist
2024,1955,69,0.870339367481765,Other Presbyterian
2024,1960,64,0.784250564878914,Gen. Assoc. of Reg. Bapt.
2024,1956,68,0.481536654352563,Free Methodist
2024,1956,68,0.481536654352563,Lutheran - Missouri Synod
2024,1956,68,0.481536654352563,United Church of Christ
2024,1968,56,0.500775461330358,Other Baptist
2024,2001,23,0.216984100664432,ABCUSA
2024,1959,65,0.939990473822151,Interdenominational
2024,1959,65,0.939990473822151,Christian Church
2024,1959,65,0.939990473822151,United Church of Christ
2024,1977,47,1.1428532507839,Southern Baptist
2024,1957,67,0.0496374881531984,Other Nondenom
2024,1959,65,0.57245582996873,ELCA
2024,1949,75,1.24168623918638,Other Nondenom
2024,1949,75,1.24168623918638,Assemblies of God
2024,1935,89,10.2269534352072,Other Baptist
2024,1954,70,1.22387546004475,Southern Baptist
2024,1979,45,0.102405681166647,Progressive Baptist Convention
2024,1979,45,0.102405681166647,ELCA
2024,1952,72,0.519064466068392,Christian Church
2024,1967,57,3.02778288159182,Seventh Day Adventist
2024,1946,78,2.71728325893813,Southern Baptist
2024,1959,65,0.353293673275127,African Methodist Episcopal
2024,1955,69,0.568771326222403,Natl. Baptist Convention
2024,1953,71,1.50672065919233,Southern Baptist
2024,1952,72,2.0553076613605,Orthodox Presbyterian
2024,1955,69,1.34100158145732,Free Methodist
2024,1949,75,1.00731065714041,Community Church
2024,1955,69,1.17010595959492,United Methodist
2024,1969,55,0.501003947687714,Community Church
2024,1971,53,0.0233214024127414,Southern Baptist
2024,1971,53,0.808979716793819,Interdenominational
2024,1938,86,0.173945956914422,Southern Baptist
2024,1960,64,3.00202548841745,Christian Reformed
2024,1956,68,0.095435268711056,Free Will Baptist
2024,1956,68,0.095435268711056,Community Church
2024,1953,71,0.727544982827916,Other Episcopal
2024,1964,60,1.13613811464993,Other Baptist
2024,1948,76,1.42768983311765,Independent Baptist
2024,1948,76,1.42768983311765,Conservative Cong. Christian
2024,1960,64,0.570136472411844,Christian Church
2024,1980,44,1.93144725702622,Free Methodist
2024,1963,61,1.59607409050721,Free Will Baptist
2024,1954,70,7.01331742556354,Other Nondenom
2024,1979,45,2.50953713935876,Nondenom Evangelical
2024,1952,72,1.59241750356729,Other Episcopal
2024,1944,80,0.134636180497511,Anglican Orthodox
2024,1965,59,2.02508370003129,Nondenom Fundamentalist
2024,1969,55,0.0506185445804682,Independent Baptist
2024,1958,66,0.190903416559616,Other Presbyterian
2024,1955,69,0.0922240183243316,TEC
2024,1954,70,0.504668609939369,Independent Baptist
2024,1953,71,0.12609965140943,Other Baptist
2024,1953,71,1.45056966399734,Other Presbyterian
2024,1950,74,1.43838196783974,Lutheran - Missouri Synod
2024,1958,66,0.342298264608292,Other Baptist
2024,1958,66,0.342298264608292,United Church of Christ
2024,1952,72,0.99501637439809,Independent Baptist
2024,1952,72,0.99501637439809,Community Church
2024,1951,73,1.5413952549695,Natl. Baptist Convention
2024,1951,73,1.5413952549695,Community Church
2024,1950,74,8.83095654726274,Other Nondenom
2024,1953,71,0.369997431287153,Christian Methodist Episcopal
2024,1954,70,6.02658460793717,Lutheran - Wisconsin Synod
2024,1947,77,0.320450269297635,Community Church
2024,1950,74,0.503441737718766,Southern Baptist
2024,1955,69,0.401404549376911,Community Church
2024,1967,57,0.461430582363027,ELCA
